,Category,Emails
0,0,go jurong point crazi avail bugi n great world la e buffet cine get amor wat
1,0,ok lar joke wif u oni
2,1,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
3,0,u dun say earli hor u c alreadi say
4,0,nah think go usf life around though
5,1,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
6,0,even brother like speak treat like aid patent
7,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
8,1,winner valu network custom select receivea prize reward claim call claim code kl valid hour
9,1,mobil month u r entitl updat late colour mobil camera free call mobil updat co free
10,0,gon na home soon want talk stuff anymor tonight k cri enough today
11,1,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info
12,1,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
13,0,search right word thank breather promis wont take help grant fulfil promis wonder bless time
14,0,date sunday
15,1,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclub com n qjkgighjjgcbl
16,0,oh k watch
17,0,eh u rememb spell name ye v naughti make v wet
18,0,fine way u feel way gota b
19,1,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq
20,0,serious spell name
21,0,go tri month ha ha joke
22,0,pay first lar da stock comin
23,0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
24,0,ffffffffff alright way meet sooner
25,0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
26,0,lol alway convinc
27,0,catch bu fri egg make tea eat mom leav dinner feel love
28,0,back amp pack car let know room
29,0,ahhh work vagu rememb feel like lol
30,0,wait still clear sure sarcast x want live u
31,0,yeah get v apologet n fall actin like spoilt child get caught till go badli cheer
32,0,k tell anyth
33,0,fear faint housework quick cuppa
34,1,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
35,0,yup ok go home look time msg xuhui go learn nd may lesson
36,0,oop let know roommat do
37,0,see letter b car
38,0,anyth lor u decid
39,0,hello saturday go text see decid anyth tomo tri invit anyth
40,0,pl go ahead watt want sure great weekend abiola
41,0,forget tell want need crave love sweet arabian steed mmmmmm yummi
42,1,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
43,0,see
44,0,great hope like man well endow lt gt inch
45,0,call messag miss call
46,0,get hep b immunis nigeria
47,0,fair enough anyth go
48,0,yeah hope tyler could mayb ask around bit
49,0,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
50,0,think first time saw class
51,0,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52,0,k fyi x ride earli tomorrow morn crash place tonight
53,0,wow never realiz embarass accomod think like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
54,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
55,0,know mallika sherawat yesterday find lt url gt
56,1,congrat year special cinema pa call c suprman v matrix starwar etc free bx ip pm dont miss
57,0,sorri call later meet
58,0,tell reach
59,0,ye gauti sehwag odi seri
60,0,gon na pick burger way home even move pain kill
61,0,ha ha ha good joke girl situat seeker
62,0,part check iq
63,0,sorri roommat take forev ok come
64,0,ok lar doubl check wif da hair dresser alreadi say wun cut v short say cut look nice
65,1,valu custom pleas advis follow recent review mob award bonu prize call
66,0,today song dedic day song u dedic send ur valuabl frnd first rpli
67,1,urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt l aj
68,1,hear new divorc barbi come ken stuff
69,0,plane give month end
70,0,wah lucki man save money hee
71,0,finish class
72,0,hi babe im home wan na someth xx
73,0,k k perform
74,0,u call
75,0,wait machan call free
76,0,that cool gentleman treat digniti respect
77,0,like peopl much shi pa
78,0,oper lt gt
79,0,still look job much ta earn
80,0,sorri call later
81,0,k call ah
82,0,ok way home hi hi
83,0,place man
84,0,yup next stop
85,0,call later network urgnt sm
86,0,real u get yo need ticket one jacket do alreadi use multi
87,0,ye start send request make pain come back back bed doubl coin factori get ta cash nitro
88,0,realli still tonight babe
89,0,ela kano il download come wen ur free
90,0,yeah stand close tho catch someth
91,0,sorri pain ok meet anoth night spend late afternoon casualti mean do stuff moro includ time sheet sorri
92,0,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
93,1,pleas call custom servic repres pm guarante cash prize
94,0,havent plan buy later check alreadi lido get show e afternoon u finish work alreadi
95,1,free rington wait collect simpli text password mix verifi get usher britney fml
96,0,watch telugu movi wat abt u
97,0,see finish load loan pay
98,0,hi wk ok hol ye bite run forget hairdress appoint four need get home n shower beforehand caus prob u ham
99,0,pleas text anymor noth els say
100,0,okay name ur price long legal wen pick u ave x am xx
101,0,still look car buy go drive test yet
102,0,wow right mean guess give boston men chang search locat nyc someth chang cuz signin page still say boston
103,0,umma life vava umma love lot dear
104,0,thank lot wish birthday thank make birthday truli memor
105,0,aight hit get cash
106,0,would ip address test consid comput minecraft server
107,0,know grumpi old peopl mom like good lie alway one play joke
108,0,dont worri guess busi
109,0,plural noun research
110,0,go dinner msg
111,0,ok wif co like tri new thing scar u dun like mah co u say loud
112,1,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm
113,0,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
114,0,enter cabin pa say happi b day bo felt special askd lunch lunch invit apart go
115,1,winner u special select receiv holiday flight inc speak live oper claim p min
116,0,goodo ye must speak friday egg potato ratio tortilla need
117,0,hmm uncl inform pay school directli pl buy food
118,1,privat account statement show unredeem bonu point claim call identifi code expir
119,1,urgent mobil award bonu caller prize final tri contact u call landlin box wr c ppm
120,0,new address appl pair malarki
121,1,today voda number end select receiv award match pleas call quot claim code standard rate app
122,0,go sao mu today do
123,0,predict wat time finish buy
124,0,good stuff
125,0,know yetund sent money yet send text bother send dont involv anyth impos anyth first place apologis
126,0,room
127,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
128,0,k k much cost
129,0,home
130,0,dear call tmorrow pl accomod
131,0,first answer question
132,1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
133,1,want get lay tonight want real dog locat send direct ur mob join uk larg dog network bt txting gravel nt ec p msg
134,0,haf msn yiju
135,0,call meet
136,0,check room befor activ
137,1,rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
138,0,get c lazi type forget lect saw pouch like v nice
139,0,k text way
140,0,sir wait mail
141,0,swt think nver get tire littl thing lovabl person coz somtim littl thing occupi big part heart gud ni
142,0,know pl open back
143,0,ye see ya dot
144,0,what staff name take class u
145,1,freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
146,0,ummma call check life begin qatar pl pray hard
147,0,k delet contact
148,0,sindu get job birla soft
149,0,wine flow never
150,0,yup thk cine well co need go plaza mah
151,0,ok ur typic repli
152,0,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time do becom one
153,0,aaooooright work
154,0,leav hous
155,0,hello love get interview today happi good boy think miss
156,1,custom servic annonc new year deliveri wait pleas call arrang deliveri
157,1,winner u special select receiv cash holiday flight inc speak live oper claim
158,0,keep safe need miss alreadi envi everyon see real life
159,0,new car hous parent new job hand
160,0,love excit day spend make happi
161,1,pl stop bootydeli f invit friend repli ye see www sm ac u bootydeli stop send stop frnd
162,1,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internet servic menu
163,0,place ur point e cultur modul alreadi
164,1,urgent tri contact last weekend draw show prize guarante call claim code valid hr
165,0,hi frnd best way avoid missunderstd wit belov one
166,0,great escap fanci bridg need lager see tomo
167,0,ye complet form clark also utter wast
168,0,sir need axi bank account bank address
169,0,hmmm thk sure get time hop ard ya go free abt muz call u discu liao
170,0,time come later
171,0,bloodi hell cant believ forget surnam mr ill give u clue spanish begin
172,0,well gon na finish bath good fine night
173,0,let know get money carlo make call
174,0,u still go mall
175,0,turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
176,0,text doesnt repli let know log
177,0,hi speak maneesha v like know satisfi experi repli toll free ye
178,0,lift hope offer money need especi end month approach hurt studi anyway gr weekend
179,0,lol u trust
180,0,ok gentleman treat digniti respect
181,0,guy close
182,0,go noth great bye
183,0,hello handsom find job lazi work toward get back net mummi boytoy miss
184,0,haha awesom minut
185,1,pleas call custom servic repres freephon pm guarante cash prize
186,0,get xma radio time get
187,0,ju reach home go bath first si use net tell u finish k
188,1,uniqu enough find th august www areyouuniqu co uk
189,0,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week
190,0,hi final complet cours
191,0,stop howev suggest stay someon abl give or everi stool
192,0,hope settl new school year wishin gr day
193,0,gud mrng dear hav nice day
194,0,u get person stori
195,0,hamster dead hey tmr meet pm orchard mrt
196,0,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
197,0,find enc lt gt
198,0,sent lt gt buck
199,0,hello darlin ive finish colleg txt u finish u love kate xxx
200,0,account refil success inr lt decim gt keralacircl prepay account balanc r lt decim gt transact id kr lt gt
201,0,goodmorn sleep ga
202,0,u call alter ok
203,0,say like dat dun buy ericsson oso oredi lar
204,0,aight yo dat straight dogg
205,0,pleas give u connect today lt decim gt refund bill
206,0,shoot big load get readi
207,0,bruv hope great break reward semest
208,0,home alway chat
209,0,k k good studi well
210,0,yup noe leh
211,0,sound great home
212,0,final match head toward draw predict
213,0,tire slept well past night
214,0,easi ah sen get select mean good
215,0,take exam march
216,0,yeah think use gt atm regist sure anyway help let know sure readi
217,0,ok prob take ur time
218,0,o call ubandu run without instal hard disk use os copi import file system give repair shop
219,0,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
220,1,new mobil must go txt nokia collect today www tc biz optout gbp mtmsg
221,0,would realli appreci call need someon talk
222,1,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
223,0,hey compani elama po mudyadhu
